sample_id,top_3_train_indices
TR-100,"[7815, 5891, 671]"
TR-101,"[587, 80, 1076]"
TR-102,"[3349, 3185, 5847]"
TR-103,"[573, 3120, 2644]"
TR-104,"[3032, 2415, 8474]"
TR-105,"[2679, 8616, 3036]"
TR-106,"[595, 239, 6742]"
TR-107,"[3307, 814, 1024]"
TR-108,"[734, 71, 1278]"
TR-109,"[194, 1158, 57]"
TR-110,"[5374, 6578, 367]"
TR-111,"[6319, 2180, 6126]"
TR-112,"[709, 287, 139]"
TR-113,"[900, 1161, 1890]"
TR-114,"[7394, 8670, 7283]"
TR-115,"[580, 7841, 5595]"
TR-116,"[7912, 8732, 1317]"
TR-117,"[308, 2881, 6791]"
TR-118,"[953, 917, 1084]"
TR-119,"[842, 1428, 1235]"
TR-120,"[6140, 87, 6075]"
TR-121,"[1243, 6462, 1054]"
TR-122,"[738, 1383, 1278]"
TR-123,"[2369, 667, 3183]"
TR-124,"[1149, 513, 2608]"
TR-125,"[804, 649, 5783]"
TR-126,"[1092, 1119, 2114]"
TR-127,"[52, 5744, 1075]"
TR-128,"[4105, 1533, 8224]"
TR-129,"[2987, 602, 5776]"
TR-130,"[3459, 6418, 1022]"
TR-131,"[1216, 1293, 1394]"
TR-132,"[4765, 228, 6867]"
TR-133,"[7129, 2594, 2942]"
TR-134,"[404, 291, 389]"
TR-135,"[649, 949, 32]"
TR-136,"[6443, 7754, 145]"
TR-137,"[853, 5476, 6268]"
TR-138,"[4003, 2050, 2497]"
TR-139,"[202, 3761, 2037]"
TR-140,"[7127, 5720, 709]"
TR-141,"[2020, 8699, 8311]"
TR-142,"[659, 999, 1100]"
TR-143,"[5305, 6594, 2931]"
TR-144,"[682, 1261, 1245]"
TR-145,"[480, 6177, 424]"
TR-146,"[2807, 1371, 135]"
TR-147,"[1523, 1825, 1505]"
TR-148,"[4279, 4285, 4198]"
TR-149,"[7864, 30, 1940]"
TR-150,"[5977, 1126, 539]"
TR-151,"[7393, 1971, 156]"
TR-152,"[8579, 2370, 6257]"
TR-153,"[5851, 4946, 3992]"
TR-154,"[1656, 1365, 1321]"
TR-155,"[1998, 8352, 386]"
TR-156,"[380, 8580, 6683]"
TR-157,"[1369, 425, 444]"
TR-158,"[1977, 4337, 665]"
TR-159,"[5877, 5437, 4042]"
TR-160,"[2375, 4172, 338]"
TR-161,"[7802, 1314, 889]"
TR-162,"[7359, 1860, 4208]"
TR-163,"[119, 2457, 5679]"
TR-164,"[6635, 5475, 6283]"
TR-165,"[7251, 5221, 4552]"
TR-166,"[631, 2473, 7895]"
TR-167,"[8215, 3902, 935]"
TR-168,"[2942, 5473, 8414]"
TR-169,"[1075, 52, 126]"
TR-170,"[243, 295, 6016]"
TR-171,"[1696, 4060, 92]"
TR-172,"[4835, 713, 3603]"
TR-173,"[2301, 454, 3337]"
TR-174,"[1535, 831, 5765]"
TR-175,"[2107, 851, 1126]"
TR-176,"[5409, 96, 6070]"
TR-177,"[317, 1016, 1525]"
TR-178,"[2569, 8473, 5587]"
TR-179,"[1361, 6396, 2679]"
TR-180,"[263, 726, 2148]"
TR-181,"[6577, 3130, 7074]"
TR-182,"[3219, 8289, 6541]"
TR-183,"[2187, 5415, 6192]"
TR-184,"[740, 1260, 6295]"
TR-185,"[2333, 8267, 3127]"
TR-186,"[1116, 5786, 3165]"
TR-187,"[3478, 2208, 3056]"
TR-188,"[7986, 5216, 8116]"
TR-189,"[73, 68, 282]"
TR-190,"[352, 645, 280]"
TR-191,"[8239, 8084, 7816]"
TR-192,"[96, 5409, 5755]"
TR-193,"[580, 114, 5434]"
TR-194,"[6070, 5829, 5409]"
TR-195,"[108, 57, 1158]"
TR-196,"[4249, 8461, 6750]"
TR-197,"[2157, 1821, 107]"
TR-198,"[3712, 35, 3727]"
TR-199,"[7147, 2003, 1942]"
TR-200,"[44, 304, 486]"
TR-201,"[121, 5966, 738]"
TR-202,"[3281, 1316, 7745]"
TR-203,"[138, 3761, 8069]"
TR-204,"[907, 429, 1548]"
TR-205,"[474, 2874, 8671]"
TR-206,"[2426, 2077, 269]"
TR-207,"[949, 212, 8098]"
TR-208,"[413, 4148, 1893]"
TR-209,"[150, 474, 2511]"
TR-210,"[98, 5139, 241]"
TR-211,"[8302, 2640, 8676]"
TR-212,"[244, 7676, 7461]"
TR-213,"[230, 1490, 1242]"
TR-214,"[6866, 7740, 5912]"
TR-215,"[3163, 2828, 665]"
TR-216,"[2555, 7979, 4305]"
TR-217,"[3652, 2915, 2623]"
TR-218,"[938, 2212, 3428]"
TR-219,"[6296, 3032, 8474]"
TR-220,"[492, 1533, 4953]"
TR-221,"[252, 1758, 7023]"
TR-222,"[5077, 6247, 5843]"
TR-223,"[1022, 851, 539]"
TR-224,"[1286, 8022, 7271]"
TR-225,"[2872, 1445, 2228]"
TR-226,"[8172, 7733, 5866]"
TR-227,"[3424, 3191, 667]"
TR-228,"[319, 44, 199]"
TR-229,"[726, 263, 2148]"
TR-230,"[3369, 380, 155]"
TR-231,"[212, 1490, 2422]"
TR-232,"[1425, 1413, 3421]"
TR-233,"[1167, 501, 798]"
TR-234,"[1195, 2056, 7209]"
TR-235,"[5898, 491, 1147]"
TR-236,"[1530, 5704, 6396]"
TR-237,"[2125, 4008, 7485]"
TR-238,"[2209, 7172, 2479]"
TR-239,"[69, 733, 7751]"
TR-240,"[7950, 595, 6016]"
TR-241,"[5529, 2529, 1678]"
TR-242,"[6820, 7477, 5548]"
TR-243,"[1245, 940, 1032]"
TR-244,"[169, 295, 6016]"
TR-245,"[6016, 774, 211]"
TR-246,"[5773, 8043, 5396]"
TR-247,"[1530, 1527, 4447]"
TR-248,"[5149, 22, 7229]"
TR-249,"[5818, 2858, 115]"
TR-250,"[5643, 6844, 1337]"
TR-251,"[556, 630, 448]"
TR-252,"[7679, 1991, 3259]"
TR-253,"[220, 1758, 6184]"
TR-254,"[7215, 2845, 6961]"
TR-255,"[8471, 4796, 7155]"
TR-256,"[7484, 316, 6995]"
TR-257,"[508, 7394, 2644]"
TR-258,"[92, 5924, 6137]"
TR-259,"[4977, 5104, 8122]"
TR-260,"[72, 361, 5705]"
TR-261,"[5190, 608, 709]"
TR-262,"[7537, 7411, 5733]"
TR-263,"[3468, 3202, 1353]"
TR-264,"[726, 2818, 228]"
TR-265,"[5666, 4330, 3815]"
TR-266,"[3624, 2724, 8340]"
TR-267,"[650, 3570, 849]"
TR-268,"[672, 406, 728]"
TR-269,"[1603, 4437, 7852]"
TR-270,"[2426, 2077, 205]"
TR-271,"[1460, 7760, 7962]"
TR-272,"[2587, 5936, 1058]"
TR-273,"[2985, 7113, 1929]"
TR-274,"[5937, 4794, 4639]"
TR-275,"[1804, 1812, 2146]"
TR-276,"[520, 1338, 476]"
TR-277,"[1377, 362, 1207]"
TR-278,"[6445, 2272, 6815]"
TR-279,"[73, 282, 1453]"
TR-280,"[734, 1278, 1280]"
TR-281,"[645, 352, 189]"
TR-282,"[5198, 8007, 3706]"
TR-283,"[317, 68, 73]"
TR-284,"[7134, 856, 8102]"
TR-285,"[6810, 6105, 6329]"
TR-286,"[458, 1736, 2253]"
TR-287,"[7478, 7361, 923]"
TR-288,"[111, 3530, 709]"
TR-289,"[5394, 5231, 6552]"
TR-290,"[1122, 1359, 263]"
TR-291,"[2944, 79, 8021]"
TR-292,"[1319, 983, 332]"
TR-293,"[1262, 362, 1030]"
TR-294,"[1410, 669, 1315]"
TR-295,"[2071, 375, 1223]"
TR-296,"[243, 169, 6016]"
TR-297,"[4682, 7683, 5592]"
TR-298,"[5112, 4750, 4833]"
TR-299,"[5273, 4249, 2393]"
TR-300,"[583, 785, 5822]"
TR-301,"[6795, 4461, 2696]"
TR-302,"[4437, 6951, 4337]"
TR-303,"[1513, 1128, 818]"
TR-304,"[3176, 7153, 1720]"
TR-305,"[199, 44, 486]"
TR-306,"[1438, 830, 1487]"
TR-307,"[5865, 4111, 8406]"
TR-308,"[1377, 1709, 362]"
TR-309,"[1476, 92, 116]"
TR-310,"[2153, 6276, 8473]"
TR-311,"[324, 279, 734]"
TR-312,"[6648, 5318, 5692]"
TR-313,"[7741, 5156, 5148]"
TR-314,"[1743, 366, 883]"
TR-315,"[1247, 68, 1016]"
TR-316,"[8293, 3888, 243]"
TR-317,"[255, 713, 7816]"
TR-318,"[282, 73, 1016]"
TR-319,"[189, 645, 280]"
TR-320,"[227, 44, 199]"
TR-321,"[1532, 6053, 331]"
TR-322,"[1028, 5282, 5931]"
TR-323,"[2691, 7842, 5942]"
TR-324,"[2297, 2624, 954]"
TR-325,"[310, 120, 279]"
TR-326,"[7784, 3118, 1596]"
TR-327,"[1910, 340, 3470]"
TR-328,"[5022, 1422, 1727]"
TR-329,"[352, 645, 280]"
TR-330,"[7724, 8626, 6840]"
TR-331,"[4123, 11, 3074]"
TR-332,"[6053, 6930, 6083]"
TR-333,"[343, 291, 3311]"
TR-334,"[7183, 5777, 7537]"
TR-335,"[3006, 771, 2791]"
TR-336,"[543, 2627, 1066]"
TR-337,"[686, 7472, 36]"
TR-338,"[6424, 604, 166]"
TR-339,"[8032, 8650, 8010]"
TR-340,"[2385, 893, 6851]"
TR-341,"[1910, 2305, 7719]"
TR-342,"[7200, 2067, 6330]"
TR-343,"[685, 1082, 1451]"
TR-344,"[332, 3311, 291]"
TR-345,"[5144, 386, 2590]"
TR-346,"[793, 5772, 1207]"
TR-347,"[5575, 1168, 6130]"
TR-348,"[6024, 243, 6016]"
TR-349,"[85, 7181, 7542]"
TR-350,"[8398, 521, 578]"
TR-351,"[8169, 2710, 1668]"
TR-352,"[36, 6344, 6592]"
TR-353,"[645, 280, 189]"
TR-354,"[2324, 3468, 2560]"
TR-355,"[4028, 4448, 4403]"
TR-356,"[1375, 5853, 5703]"
TR-357,"[936, 1826, 635]"
TR-358,"[1350, 1275, 1049]"
TR-359,"[6808, 8015, 5632]"
TR-360,"[416, 937, 1754]"
TR-361,"[6849, 1866, 3370]"
TR-362,"[259, 72, 5300]"
TR-363,"[425, 1377, 1199]"
TR-364,"[1893, 977, 1726]"
TR-365,"[1651, 3540, 1238]"
TR-366,"[438, 933, 5838]"
TR-367,"[1386, 1743, 883]"
TR-368,"[2666, 2695, 6321]"
TR-369,"[80, 1203, 587]"
TR-370,"[7059, 6556, 1480]"
TR-371,"[5745, 570, 8047]"
TR-372,"[435, 7284, 5838]"
TR-373,"[524, 7886, 1419]"
TR-374,"[859, 693, 7905]"
TR-375,"[5503, 4945, 2591]"
TR-376,"[1264, 294, 2071]"
TR-377,"[6569, 6004, 3418]"
TR-378,"[596, 4178, 4766]"
TR-379,"[356, 5666, 1712]"
TR-380,"[8464, 6554, 3484]"
TR-381,"[155, 6683, 8580]"
TR-382,"[2099, 690, 437]"
TR-383,"[6919, 2063, 7840]"
TR-384,"[56, 455, 461]"
TR-385,"[7398, 1427, 1300]"
TR-386,"[1470, 1290, 1757]"
TR-387,"[154, 1998, 6742]"
TR-388,"[890, 1957, 1029]"
TR-389,"[5745, 370, 7589]"
TR-390,"[291, 1319, 332]"
TR-391,"[712, 5939, 2600]"
TR-392,"[7347, 5428, 5277]"
TR-393,"[8047, 570, 3001]"
TR-394,"[7335, 7896, 5095]"
TR-395,"[459, 1, 3160]"
TR-396,"[5720, 139, 904]"
TR-397,"[5093, 4645, 7578]"
TR-398,"[1534, 7495, 980]"
TR-399,"[1311, 4595, 3277]"
TR-400,"[6, 3637, 7684]"
TR-401,"[6852, 6949, 2826]"
TR-402,"[1303, 687, 1235]"
TR-403,"[519, 262, 2710]"
TR-404,"[2597, 2158, 8325]"
TR-405,"[133, 389, 291]"
TR-406,"[6571, 5166, 7131]"
TR-407,"[672, 267, 728]"
TR-408,"[6105, 6210, 3031]"
TR-409,"[2987, 5776, 5998]"
TR-410,"[1678, 6750, 6211]"
TR-411,"[1219, 1627, 800]"
TR-412,"[503, 578, 521]"
TR-413,"[1746, 2294, 5748]"
TR-414,"[207, 4148, 3757]"
TR-415,"[1141, 7251, 6508]"
TR-416,"[6542, 2254, 7674]"
TR-417,"[359, 25, 1039]"
TR-418,"[1556, 1484, 7491]"
TR-419,"[8117, 2386, 6296]"
TR-420,"[7120, 5710, 4401]"
TR-421,"[3275, 7894, 3957]"
TR-422,"[663, 568, 5746]"
TR-423,"[6917, 3860, 6898]"
TR-424,"[139, 395, 5720]"
TR-425,"[6882, 6177, 480]"
TR-426,"[362, 156, 1199]"
TR-427,"[479, 5383, 43]"
TR-428,"[1943, 3311, 343]"
TR-429,"[4981, 412, 3048]"
TR-430,"[1548, 203, 78]"
TR-431,"[269, 2426, 509]"
TR-432,"[7839, 5713, 6158]"
TR-433,"[654, 7816, 2038]"
TR-434,"[5708, 6383, 392]"
TR-435,"[1151, 1439, 1817]"
TR-436,"[371, 5687, 6711]"
TR-437,"[3056, 1698, 6459]"
TR-438,"[690, 5972, 2680]"
TR-439,"[365, 5838, 3268]"
TR-440,"[7710, 6598, 2623]"
TR-441,"[7970, 4483, 3386]"
TR-442,"[6189, 501, 2362]"
TR-443,"[8070, 6932, 7281]"
TR-444,"[3924, 6016, 5892]"
TR-445,"[1369, 872, 1207]"
TR-446,"[1148, 3601, 6121]"
TR-447,"[773, 1836, 27]"
TR-448,"[3362, 3117, 5219]"
TR-449,"[3067, 2218, 630]"
TR-450,"[6911, 6389, 5582]"
TR-451,"[962, 766, 1109]"
TR-452,"[2057, 747, 6507]"
TR-453,"[6550, 400, 438]"
TR-454,"[969, 6592, 46]"
TR-455,"[1228, 2301, 1638]"
TR-456,"[56, 461, 40]"
TR-457,"[8770, 8452, 6582]"
TR-458,"[8043, 5503, 7554]"
TR-459,"[2253, 1919, 1549]"
TR-460,"[6648, 8467, 2153]"
TR-461,"[1013, 2044, 4547]"
TR-462,"[455, 56, 40]"
TR-463,"[749, 51, 757]"
TR-464,"[834, 1821, 1243]"
TR-465,"[946, 3523, 2183]"
TR-466,"[1470, 5238, 1358]"
TR-467,"[1803, 7165, 1296]"
TR-468,"[3107, 7824, 3243]"
TR-469,"[4694, 570, 8047]"
TR-470,"[5112, 4954, 4489]"
TR-471,"[5473, 6777, 8083]"
TR-472,"[1472, 2185, 2606]"
TR-473,"[7484, 5821, 7085]"
TR-474,"[1490, 6412, 1317]"
TR-475,"[204, 2736, 5243]"
TR-476,"[3745, 1890, 7524]"
TR-477,"[827, 6429, 1146]"
TR-478,"[2592, 3428, 5452]"
TR-479,"[8464, 5888, 7381]"
TR-480,"[426, 2841, 43]"
TR-481,"[424, 144, 6177]"
TR-482,"[3854, 5136, 2015]"
TR-483,"[5936, 5735, 8074]"
TR-484,"[1415, 7106, 3187]"
TR-485,"[7882, 7692, 7848]"
TR-486,"[6050, 5576, 244]"
TR-487,"[199, 44, 304]"
TR-488,"[1395, 906, 7367]"
TR-489,"[5372, 549, 35]"
TR-490,"[1176, 1435, 7021]"
TR-491,"[1547, 1070, 6526]"
TR-492,"[1147, 5898, 1113]"
TR-493,"[219, 2237, 2879]"
TR-494,"[1587, 306, 170]"
TR-495,"[5026, 379, 7578]"
TR-496,"[907, 1011, 1548]"
TR-497,"[7541, 7306, 6793]"
TR-498,"[2878, 3436, 981]"
TR-499,"[849, 1322, 929]"
TR-500,"[8043, 5869, 709]"
TR-501,"[8015, 1857, 5550]"
TR-502,"[232, 8211, 4603]"
TR-503,"[681, 745, 1380]"
TR-504,"[411, 578, 8398]"
TR-505,"[4207, 1838, 4291]"
TR-506,"[3703, 6898, 2273]"
TR-507,"[2160, 7074, 7400]"
TR-508,"[2078, 3159, 7214]"
TR-509,"[256, 647, 3503]"
TR-510,"[2426, 430, 269]"
TR-511,"[517, 4527, 8669]"
TR-512,"[7811, 6520, 7342]"
TR-513,"[8259, 3775, 5856]"
TR-514,"[1464, 1362, 2850]"
TR-515,"[1291, 1487, 2010]"
TR-516,"[7360, 3451, 5133]"
TR-517,"[8398, 521, 578]"
TR-518,"[510, 4527, 4378]"
TR-519,"[2463, 7096, 5423]"
TR-520,"[1531, 1506, 262]"
TR-521,"[1146, 6429, 827]"
TR-522,"[578, 8398, 516]"
TR-523,"[6152, 2296, 5075]"
TR-524,"[6189, 6357, 6657]"
TR-525,"[7886, 1419, 372]"
TR-526,"[926, 1043, 1642]"
TR-527,"[6813, 7315, 5404]"
TR-528,"[3135, 3529, 7834]"
TR-529,"[1754, 244, 8084]"
TR-530,"[850, 852, 862]"
TR-531,"[8525, 6631, 1957]"
TR-532,"[3191, 122, 3424]"
TR-533,"[3324, 2970, 3367]"
TR-534,"[1977, 3694, 3409]"
TR-535,"[3052, 544, 1981]"
TR-536,"[7788, 7780, 1722]"
TR-537,"[4767, 8719, 1556]"
TR-538,"[1428, 1158, 731]"
TR-539,"[8192, 1655, 5306]"
TR-540,"[862, 851, 529]"
TR-541,"[368, 587, 80]"
TR-542,"[5187, 119, 7975]"
TR-543,"[1526, 3, 49]"
TR-544,"[2627, 335, 2708]"
TR-545,"[3052, 2881, 3342]"
TR-546,"[1615, 4243, 4206]"
TR-547,"[4696, 4526, 7481]"
TR-548,"[4580, 3763, 3786]"
TR-549,"[5668, 6149, 920]"
TR-550,"[2, 5372, 488]"
TR-551,"[2257, 2258, 7099]"
TR-552,"[6649, 8076, 3822]"
TR-553,"[4841, 200, 4761]"
TR-554,"[3558, 4507, 283]"
TR-555,"[8049, 5749, 5625]"
TR-556,"[717, 1475, 3385]"
TR-557,"[250, 630, 448]"
TR-558,"[2780, 5150, 7357]"
TR-559,"[978, 4527, 3334]"
TR-560,"[7394, 2373, 7363]"
TR-561,"[634, 8671, 204]"
TR-562,"[1475, 94, 717]"
TR-563,"[1980, 5654, 7461]"
TR-564,"[4953, 4695, 959]"
TR-565,"[3459, 6364, 264]"
TR-566,"[1265, 4740, 6353]"
TR-567,"[4458, 1750, 6290]"
TR-568,"[4834, 5619, 4653]"
TR-569,"[663, 421, 8056]"
TR-570,"[176, 317, 1451]"
TR-571,"[8047, 392, 3001]"
TR-572,"[6980, 725, 2020]"
TR-573,"[352, 8464, 1433]"
TR-574,"[102, 548, 920]"
TR-575,"[5831, 5687, 7747]"
TR-576,"[4336, 1339, 7046]"
TR-577,"[5201, 3761, 5153]"
TR-578,"[1067, 63, 2049]"
TR-579,"[521, 8398, 516]"
TR-580,"[6541, 1197, 7836]"
TR-581,"[114, 2829, 5595]"
TR-582,"[1034, 1089, 830]"
TR-583,"[613, 680, 988]"
TR-584,"[5822, 2135, 4283]"
TR-585,"[7453, 460, 3555]"
TR-586,"[8526, 1385, 1356]"
TR-587,"[5957, 7827, 2282]"
TR-588,"[100, 1617, 695]"
TR-589,"[1118, 1245, 940]"
TR-590,"[3786, 4325, 4796]"
TR-591,"[5692, 7409, 678]"
TR-592,"[3263, 3704, 3710]"
TR-593,"[593, 1594, 1178]"
TR-594,"[592, 1594, 5712]"
TR-595,"[199, 44, 304]"
TR-596,"[2756, 239, 6742]"
TR-597,"[4178, 377, 8455]"
TR-598,"[7132, 6347, 7021]"
TR-599,"[1179, 7354, 2029]"
TR-600,"[7580, 6431, 8530]"
TR-601,"[1420, 4507, 2619]"
TR-602,"[921, 7021, 6735]"
TR-603,"[5776, 2987, 128]"
TR-604,"[1386, 1743, 883]"
TR-605,"[1458, 6498, 2161]"
TR-606,"[465, 5238, 1470]"
TR-607,"[7139, 2473, 713]"
TR-608,"[2894, 7654, 3103]"
TR-609,"[1871, 1843, 1880]"
TR-610,"[7086, 3434, 6665]"
TR-611,"[3443, 5444, 5968]"
TR-612,"[98, 2142, 7260]"
TR-613,"[7684, 4329, 7665]"
TR-614,"[582, 680, 91]"
TR-615,"[2683, 2152, 2438]"
TR-616,"[5001, 6808, 5344]"
TR-617,"[5851, 2941, 7926]"
TR-618,"[6185, 3996, 8325]"
TR-619,"[8290, 8056, 2246]"
TR-620,"[8568, 6218, 1874]"
TR-621,"[784, 1543, 1634]"
TR-622,"[5705, 3416, 7070]"
TR-623,"[2063, 1941, 3570]"
TR-624,"[984, 6069, 2933]"
TR-625,"[5190, 54, 2981]"
TR-626,"[2800, 5393, 5718]"
TR-627,"[8256, 2545, 1021]"
TR-628,"[7470, 5555, 7288]"
TR-629,"[3144, 3052, 1615]"
TR-630,"[1201, 839, 1638]"
TR-631,"[250, 556, 448]"
TR-632,"[7895, 1378, 1203]"
TR-633,"[338, 7435, 2655]"
TR-634,"[5642, 1368, 7228]"
TR-635,"[560, 8671, 204]"
TR-636,"[1826, 1447, 1315]"
TR-637,"[648, 1168, 5690]"
TR-638,"[1318, 7758, 194]"
TR-639,"[1178, 5712, 592]"
TR-640,"[1398, 1350, 843]"
TR-641,"[4834, 8766, 567]"
TR-642,"[8043, 1124, 7127]"
TR-643,"[833, 6217, 5764]"
TR-644,"[5750, 2994, 7176]"
TR-645,"[7272, 8465, 5413]"
TR-646,"[280, 352, 189]"
TR-647,"[7249, 2267, 3570]"
TR-648,"[508, 2522, 1483]"
TR-649,"[636, 3527, 5690]"
TR-650,"[134, 124, 2120]"
TR-651,"[266, 3570, 2063]"
TR-652,"[2963, 1233, 1982]"
TR-653,"[8398, 521, 578]"
TR-654,"[2333, 7891, 1433]"
TR-655,"[432, 2569, 4329]"
TR-656,"[753, 6163, 3399]"
TR-657,"[1147, 491, 1733]"
TR-658,"[462, 51, 749]"
TR-659,"[368, 587, 592]"
TR-660,"[999, 141, 1100]"
TR-661,"[5339, 1279, 1155]"
TR-662,"[2020, 3420, 5298]"
TR-663,"[7836, 1197, 1381]"
TR-664,"[421, 568, 5746]"
TR-665,"[3622, 2029, 1233]"
TR-666,"[214, 2828, 3163]"
TR-667,"[1445, 777, 2664]"
TR-668,"[3191, 2369, 3424]"
TR-669,"[7120, 2305, 8214]"
TR-670,"[1410, 293, 1127]"
TR-671,"[1627, 900, 5190]"
TR-672,"[99, 241, 8578]"
TR-673,"[267, 406, 728]"
TR-674,"[945, 7744, 1412]"
TR-675,"[6344, 5318, 1629]"
TR-676,"[775, 904, 8049]"
TR-677,"[1473, 3409, 1981]"
TR-678,"[8576, 5433, 7309]"
TR-679,"[1475, 5363, 717]"
TR-680,"[823, 2049, 4599]"
TR-681,"[988, 1423, 1193]"
TR-682,"[956, 1084, 917]"
TR-683,"[143, 1261, 1245]"
TR-684,"[257, 1696, 5740]"
TR-685,"[4825, 3746, 5048]"
TR-686,"[342, 1082, 1451]"
TR-687,"[336, 7472, 36]"
TR-688,"[1303, 1235, 401]"
TR-689,"[7969, 5445, 6709]"
TR-690,"[1971, 5923, 1776]"
TR-691,"[437, 5972, 2680]"
TR-692,"[3030, 4503, 6740]"
TR-693,"[6374, 1760, 2405]"
TR-694,"[859, 373, 2073]"
TR-695,"[1456, 1319, 389]"
TR-696,"[1617, 592, 1594]"
TR-697,"[5873, 5798, 4580]"
TR-698,"[542, 6340, 1526]"
TR-699,"[6955, 2270, 1832]"
TR-700,"[725, 3271, 776]"
TR-701,"[895, 1136, 926]"
TR-702,"[4837, 1067, 2478]"
TR-703,"[2418, 586, 7543]"
TR-704,"[4541, 610, 4555]"
TR-705,"[1116, 1097, 3239]"
TR-706,"[1320, 842, 73]"
TR-707,"[4229, 5849, 4214]"
TR-708,"[1940, 1898, 1500]"
TR-709,"[874, 81, 5560]"
TR-710,"[7127, 139, 111]"
TR-711,"[5817, 5286, 8002]"
TR-712,"[8525, 1420, 6797]"
TR-713,"[390, 5939, 2600]"
TR-714,"[1800, 7484, 255]"
TR-715,"[3425, 6959, 2573]"
TR-716,"[1318, 282, 68]"
TR-717,"[282, 73, 68]"
TR-718,"[1475, 3385, 1038]"
TR-719,"[1225, 1049, 1275]"
TR-720,"[3992, 3735, 2422]"
TR-721,"[1369, 1207, 1377]"
TR-722,"[3362, 8048, 1603]"
TR-723,"[3943, 4660, 3320]"
TR-724,"[2363, 1068, 8102]"
TR-725,"[1640, 1039, 25]"
TR-726,"[776, 994, 5260]"
TR-727,"[263, 228, 2818]"
TR-728,"[3071, 2608, 851]"
TR-729,"[1607, 406, 267]"
TR-730,"[2317, 6875, 6914]"
