sample_id,meme_anxiety_categories
TR-1802,Irritatbily
TR-536,Nervousness
TR-904,Lack of Worry Control
TR-810,Nervousness
TR-38,Nervousness
TR-1968,Irritatbily
TR-2264,Restlessness
TR-1120,Lack of Worry Control
TR-2113,Nervousness
TR-1706,Lack of Worry Control
TR-2178,Lack of Worry Control
TR-1807,Irritatbily
TR-2595,Impending Doom
TR-293,Lack of Worry Control
TR-668,Restlessness
TR-211,Difficulty Relaxing
TR-221,Excessive Worry
TR-2238,Irritatbily
TR-1849,Restlessness
TR-319,Restlessness
TR-505,Restlessness
TR-2527,Lack of Worry Control
TR-1360,Lack of Worry Control
TR-832,Restlessness
TR-2483,Restlessness
TR-1805,Excessive Worry
TR-1880,Excessive Worry
TR-1177,Difficulty Relaxing
TR-961,Impending Doom
TR-1421,Nervousness
TR-1162,Nervousness
TR-2540,Nervousness
TR-208,Excessive Worry
TR-17,Nervousness
TR-1201,Impending Doom
TR-2079,Restlessness
TR-2130,Impending Doom
TR-2139,Lack of Worry Control
TR-1891,Irritatbily
TR-2278,Impending Doom
TR-2467,Difficulty Relaxing
TR-2355,Nervousness
TR-1652,Nervousness
TR-1314,Excessive Worry
TR-1051,Restlessness
TR-2008,Nervousness
TR-2157,Excessive Worry
TR-370,Lack of Worry Control
TR-1262,Restlessness
TR-1448,Nervousness
TR-1920,Impending Doom
TR-1611,Impending Doom
TR-2256,Restlessness
TR-1346,Nervousness
TR-389,Excessive Worry
TR-2345,Impending Doom
TR-2457,Lack of Worry Control
TR-200,Restlessness
TR-1283,Difficulty Relaxing
TR-782,Impending Doom
TR-882,Lack of Worry Control
TR-225,Nervousness
TR-361,Lack of Worry Control
TR-1368,Irritatbily
TR-1763,Impending Doom
TR-428,Difficulty Relaxing
TR-1560,Nervousness
TR-2140,Lack of Worry Control
TR-2443,Impending Doom
TR-2555,Irritatbily
TR-1712,Impending Doom
TR-1298,Nervousness
TR-605,Restlessness
TR-846,Impending Doom
TR-1132,Restlessness
TR-58,Lack of Worry Control
TR-672,Difficulty Relaxing
TR-1988,Difficulty Relaxing
TR-184,Restlessness
TR-2210,Nervousness
TR-2112,Restlessness
TR-965,Excessive Worry
TR-570,Excessive Worry
TR-1432,Excessive Worry
TR-463,Excessive Worry
TR-255,Restlessness
TR-2560,Restlessness
TR-2366,Excessive Worry
TR-1548,Lack of Worry Control
TR-755,Nervousness
TR-888,Excessive Worry
TR-1146,Irritatbily
TR-557,Restlessness
TR-185,Impending Doom
TR-548,Lack of Worry Control
TR-643,Restlessness
TR-1293,Impending Doom
TR-1859,Restlessness
TR-831,Impending Doom
TR-316,Irritatbily
TR-1800,Impending Doom
TR-2022,Impending Doom
TR-41,Restlessness
TR-188,Restlessness
TR-2420,Excessive Worry
TR-595,Lack of Worry Control
TR-858,Excessive Worry
TR-1412,Nervousness
TR-773,Irritatbily
TR-1066,Impending Doom
TR-1736,Lack of Worry Control
TR-2193,Nervousness
TR-390,Nervousness
TR-2451,Difficulty Relaxing
TR-1167,Restlessness
TR-1686,Difficulty Relaxing
TR-2579,Nervousness
TR-250,Restlessness
TR-593,Restlessness
TR-812,Restlessness
TR-305,Lack of Worry Control
TR-2206,Impending Doom
TR-957,Nervousness
TR-2331,Lack of Worry Control
TR-1091,Lack of Worry Control
TR-861,Impending Doom
TR-922,Excessive Worry
TR-2058,Excessive Worry
TR-2194,Restlessness
TR-2136,Lack of Worry Control
TR-885,Nervousness
TR-2404,Lack of Worry Control
TR-791,Impending Doom
TR-1964,Impending Doom
TR-421,Restlessness
TR-860,Excessive Worry
TR-2577,Nervousness
TR-996,Excessive Worry
TR-1666,Nervousness
TR-276,Impending Doom
TR-2517,Nervousness
TR-485,Impending Doom
TR-962,Difficulty Relaxing
TR-555,Restlessness
TR-1995,Impending Doom
TR-780,Lack of Worry Control
TR-1825,Restlessness
TR-2244,Nervousness
TR-99,Nervousness
TR-1147,Impending Doom
TR-902,Impending Doom
TR-1334,Nervousness
TR-705,Lack of Worry Control
TR-1781,Lack of Worry Control
TR-1088,Impending Doom
TR-1062,Impending Doom
TR-1538,Nervousness
TR-472,Lack of Worry Control
TR-1636,Excessive Worry
TR-2045,Impending Doom
TR-2569,Excessive Worry
TR-2500,Lack of Worry Control
TR-923,Nervousness
TR-2265,Impending Doom
TR-992,Restlessness
TR-217,Nervousness
TR-934,Nervousness
TR-1820,Nervousness
TR-895,Impending Doom
TR-203,Impending Doom
TR-129,Irritatbily
TR-532,Excessive Worry
TR-2076,Excessive Worry
TR-479,Nervousness
TR-1634,Lack of Worry Control
TR-1484,Excessive Worry
TR-1832,Nervousness
TR-1908,Lack of Worry Control
TR-1579,Nervousness
TR-1727,Nervousness
TR-651,Impending Doom
TR-2476,Restlessness
TR-910,Lack of Worry Control
TR-2440,Impending Doom
TR-10,Impending Doom
TR-582,Impending Doom
TR-499,Excessive Worry
TR-575,Impending Doom
TR-2499,Lack of Worry Control
TR-2202,Restlessness
TR-1500,Impending Doom
TR-1343,Nervousness
TR-890,Restlessness
TR-2021,Restlessness
TR-642,Restlessness
TR-1183,Excessive Worry
TR-2197,Lack of Worry Control
TR-46,Lack of Worry Control
TR-1982,Excessive Worry
TR-1395,Restlessness
TR-1705,Lack of Worry Control
TR-2558,Nervousness
TR-2554,Excessive Worry
TR-1985,Lack of Worry Control
TR-1405,Nervousness
TR-1352,Restlessness
TR-900,Nervousness
TR-2180,Restlessness
TR-2384,Impending Doom
TR-1226,Excessive Worry
TR-1948,Difficulty Relaxing
TR-1837,Restlessness
TR-1941,Excessive Worry
TR-1126,Restlessness
TR-955,Difficulty Relaxing
TR-2411,Restlessness
TR-299,Nervousness
TR-637,Excessive Worry
TR-1901,Excessive Worry
TR-1751,Nervousness
TR-602,Excessive Worry
TR-1035,Difficulty Relaxing
TR-752,Nervousness
TR-702,Excessive Worry
TR-2107,Nervousness
TR-148,Nervousness
TR-529,Difficulty Relaxing
TR-792,Lack of Worry Control
TR-1586,Difficulty Relaxing
TR-1610,Nervousness
TR-190,Difficulty Relaxing
TR-102,Excessive Worry
TR-2400,Excessive Worry
TR-1459,Impending Doom
TR-1699,Lack of Worry Control
TR-1927,Difficulty Relaxing
TR-1534,Impending Doom
TR-2163,Excessive Worry
TR-824,Impending Doom
TR-488,Irritatbily
TR-974,Restlessness
TR-1415,Excessive Worry
TR-874,Difficulty Relaxing
TR-2220,Lack of Worry Control
TR-1994,Impending Doom
TR-1673,Lack of Worry Control
TR-2468,Irritatbily
TR-851,Difficulty Relaxing
TR-2522,Restlessness
TR-2067,Nervousness
TR-1485,Restlessness
TR-1752,Restlessness
TR-804,Difficulty Relaxing
TR-798,Nervousness
TR-1824,Difficulty Relaxing
TR-1541,Excessive Worry
TR-1482,Impending Doom
TR-2433,Irritatbily
TR-2531,Difficulty Relaxing
TR-82,Impending Doom
TR-125,Nervousness
TR-2347,Excessive Worry
TR-231,Impending Doom
TR-687,Nervousness
TR-1436,Nervousness
TR-197,Restlessness
TR-761,Restlessness
TR-2156,Difficulty Relaxing
TR-1474,Difficulty Relaxing
TR-222,Restlessness
TR-906,Excessive Worry
TR-1406,Impending Doom
TR-1190,Irritatbily
TR-1186,Impending Doom
TR-1216,Impending Doom
TR-1253,Nervousness
TR-2239,Lack of Worry Control
TR-326,Excessive Worry
TR-1773,Restlessness
TR-172,Nervousness
TR-230,Restlessness
TR-2439,Restlessness
TR-2514,Lack of Worry Control
TR-739,Excessive Worry
TR-726,Nervousness
TR-2524,Restlessness
TR-2530,Nervousness
TR-2258,Nervousness
TR-1638,Restlessness
TR-1261,Restlessness
TR-762,Difficulty Relaxing
TR-1022,Restlessness
TR-473,Excessive Worry
TR-650,Difficulty Relaxing
TR-2344,Impending Doom
TR-1886,Restlessness
TR-2336,Irritatbily
TR-2508,Restlessness
TR-131,Difficulty Relaxing
TR-1481,Impending Doom
TR-1427,Nervousness
TR-150,Nervousness
TR-1679,Restlessness
TR-387,Lack of Worry Control
TR-1959,Difficulty Relaxing
TR-2201,Lack of Worry Control
TR-2141,Difficulty Relaxing
TR-2170,Nervousness
TR-1723,Lack of Worry Control
TR-959,Irritatbily
TR-2012,Excessive Worry
TR-1523,Irritatbily
TR-978,Lack of Worry Control
TR-2351,Excessive Worry
TR-1651,Excessive Worry
TR-1918,Nervousness
TR-434,Restlessness
TR-124,Restlessness
TR-2304,Lack of Worry Control
TR-2437,Irritatbily
TR-1391,Impending Doom
TR-2312,Restlessness
TR-880,Restlessness
TR-519,Restlessness
TR-1064,Difficulty Relaxing
TR-1913,Excessive Worry
TR-2319,Impending Doom
TR-1931,Difficulty Relaxing
TR-2419,Impending Doom
TR-838,Restlessness
TR-215,Restlessness
TR-683,Impending Doom
TR-640,Irritatbily
TR-2509,Excessive Worry
TR-589,Nervousness
TR-1613,Difficulty Relaxing
TR-2361,Difficulty Relaxing
TR-269,Lack of Worry Control
TR-870,Restlessness
TR-1031,Impending Doom
TR-1363,Difficulty Relaxing
TR-1907,Excessive Worry
TR-2507,Lack of Worry Control
TR-1273,Lack of Worry Control
TR-2434,Impending Doom
TR-1946,Excessive Worry
TR-1119,Impending Doom
TR-1203,Restlessness
TR-2563,Restlessness
TR-1869,Impending Doom
TR-411,Impending Doom
TR-1877,Nervousness
TR-503,Irritatbily
TR-342,Excessive Worry
TR-1434,Irritatbily
TR-478,Lack of Worry Control
TR-313,Restlessness
TR-232,Difficulty Relaxing
TR-1310,Nervousness
TR-1017,Restlessness
TR-1504,Restlessness
TR-62,Impending Doom
TR-546,Impending Doom
TR-438,Lack of Worry Control
TR-1299,Nervousness
TR-659,Impending Doom
TR-1125,Irritatbily
TR-1462,Irritatbily
TR-19,Difficulty Relaxing
TR-701,Impending Doom
TR-719,Nervousness
TR-664,Nervousness
TR-21,Lack of Worry Control
TR-764,Difficulty Relaxing
TR-2236,Lack of Worry Control
TR-398,Nervousness
TR-1227,Lack of Worry Control
TR-564,Impending Doom
TR-94,Impending Doom
TR-1139,Impending Doom
TR-2395,Excessive Worry
TR-2516,Lack of Worry Control
TR-2389,Difficulty Relaxing
TR-2118,Nervousness
TR-698,Lack of Worry Control
TR-1889,Restlessness
TR-418,Impending Doom
TR-336,Irritatbily
TR-852,Excessive Worry
TR-682,Nervousness
TR-2040,Nervousness
TR-741,Restlessness
TR-1904,Nervousness
TR-173,Restlessness
TR-2068,Restlessness
TR-1296,Impending Doom
TR-676,Impending Doom
TR-1470,Lack of Worry Control
TR-2002,Nervousness
TR-477,Restlessness
TR-1860,Impending Doom
TR-545,Difficulty Relaxing
TR-427,Difficulty Relaxing
TR-1276,Irritatbily
TR-371,Excessive Worry
TR-522,Restlessness
TR-456,Impending Doom
TR-2225,Difficulty Relaxing
TR-1809,Difficulty Relaxing
TR-1554,Difficulty Relaxing
TR-1497,Difficulty Relaxing
TR-88,Nervousness
TR-779,Impending Doom
TR-1947,Nervousness
TR-2038,Difficulty Relaxing
TR-1332,Excessive Worry
TR-1078,Irritatbily
TR-694,Impending Doom
TR-2126,Difficulty Relaxing
TR-1285,Nervousness
TR-1219,Nervousness
TR-1831,Lack of Worry Control
TR-22,Excessive Worry
TR-1374,Impending Doom
TR-360,Restlessness
TR-983,Impending Doom
TR-1863,Restlessness
TR-2052,Nervousness
TR-59,Excessive Worry
TR-2512,Restlessness
TR-727,Irritatbily
TR-1746,Excessive Worry
TR-1382,Restlessness
TR-634,Impending Doom
TR-1020,Lack of Worry Control
TR-66,Difficulty Relaxing
TR-1714,Impending Doom
TR-2181,Difficulty Relaxing
TR-886,Lack of Worry Control
TR-933,Difficulty Relaxing
TR-542,Restlessness
TR-412,Difficulty Relaxing
TR-501,Impending Doom
TR-341,Restlessness
TR-1928,Restlessness
TR-1624,Restlessness
TR-53,Impending Doom
TR-2580,Restlessness
TR-65,Nervousness
TR-1909,Irritatbily
TR-1036,Excessive Worry
TR-1760,Irritatbily
TR-2173,Lack of Worry Control
TR-2357,Difficulty Relaxing
TR-243,Nervousness
TR-482,Restlessness
TR-738,Restlessness
TR-1194,Restlessness
TR-409,Difficulty Relaxing
TR-1445,Excessive Worry
TR-1179,Restlessness
TR-1429,Nervousness
TR-1853,Irritatbily
TR-1598,Lack of Worry Control
TR-1111,Excessive Worry
TR-1629,Excessive Worry
TR-60,Difficulty Relaxing
TR-883,Lack of Worry Control
TR-865,Excessive Worry
TR-1688,Restlessness
TR-138,Lack of Worry Control
TR-51,Impending Doom
TR-1845,Difficulty Relaxing
TR-2592,Restlessness
TR-164,Restlessness
TR-2541,Nervousness
TR-1903,Lack of Worry Control
TR-1615,Impending Doom
TR-1660,Restlessness
TR-1823,Difficulty Relaxing
TR-2538,Nervousness
TR-666,Difficulty Relaxing
TR-2182,Lack of Worry Control
TR-1764,Lack of Worry Control
TR-1675,Difficulty Relaxing
TR-1377,Difficulty Relaxing
TR-77,Excessive Worry
TR-306,Lack of Worry Control
TR-154,Excessive Worry
TR-447,Lack of Worry Control
TR-620,Impending Doom
TR-1430,Lack of Worry Control
TR-544,Restlessness
TR-622,Nervousness
TR-1233,Irritatbily
TR-1465,Excessive Worry
TR-474,Lack of Worry Control
TR-2144,Impending Doom
TR-653,Lack of Worry Control
TR-159,Difficulty Relaxing
TR-1229,Restlessness
TR-1542,Excessive Worry
TR-1698,Lack of Worry Control
TR-1658,Impending Doom
TR-492,Irritatbily
TR-2430,Nervousness
TR-44,Irritatbily
TR-220,Nervousness
TR-2237,Impending Doom
TR-781,Nervousness
TR-1787,Lack of Worry Control
TR-630,Excessive Worry
TR-742,Lack of Worry Control
TR-440,Restlessness
TR-1997,Excessive Worry
TR-2100,Irritatbily
TR-1568,Difficulty Relaxing
TR-345,Difficulty Relaxing
TR-1257,Lack of Worry Control
TR-2566,Difficulty Relaxing
TR-2302,Difficulty Relaxing
TR-2585,Nervousness
TR-194,Irritatbily
TR-486,Difficulty Relaxing
TR-1093,Restlessness
TR-1865,Nervousness
TR-445,Restlessness
TR-1398,Difficulty Relaxing
TR-1694,Nervousness
TR-2539,Impending Doom
TR-2377,Impending Doom
TR-946,Restlessness
TR-737,Excessive Worry
TR-50,Irritatbily
TR-915,Restlessness
TR-375,Difficulty Relaxing
TR-600,Impending Doom
TR-2494,Nervousness
TR-982,Restlessness
TR-2486,Difficulty Relaxing
TR-1085,Nervousness
TR-2537,Nervousness
TR-1750,Difficulty Relaxing
TR-374,Excessive Worry
TR-845,Difficulty Relaxing
TR-1580,Difficulty Relaxing
TR-2408,Impending Doom
TR-166,Excessive Worry
TR-1364,Lack of Worry Control
TR-805,Difficulty Relaxing
TR-1056,Restlessness
TR-1313,Restlessness
TR-1163,Impending Doom
TR-1309,Restlessness
TR-37,Difficulty Relaxing
TR-1790,Impending Doom
TR-2070,Restlessness
TR-1084,Excessive Worry
TR-422,Lack of Worry Control
TR-2227,Lack of Worry Control
TR-281,Impending Doom
TR-1471,Nervousness
TR-2504,Restlessness
TR-466,Impending Doom
TR-2062,Lack of Worry Control
TR-926,Lack of Worry Control
TR-896,Difficulty Relaxing
TR-2352,Nervousness
TR-1041,Impending Doom
TR-437,Restlessness
TR-2042,Impending Doom
TR-2071,Difficulty Relaxing
TR-2469,Restlessness
TR-446,Nervousness
TR-673,Restlessness
TR-1792,Lack of Worry Control
TR-2441,Restlessness
TR-1109,Nervousness
TR-559,Impending Doom
TR-1813,Impending Doom
TR-1446,Nervousness
TR-1725,Lack of Worry Control
TR-671,Excessive Worry
TR-995,Irritatbily
TR-1810,Excessive Worry
TR-1063,Difficulty Relaxing
TR-1317,Nervousness
TR-2288,Lack of Worry Control
TR-2322,Nervousness
TR-2422,Restlessness
TR-1269,Excessive Worry
TR-2026,Irritatbily
TR-1478,Difficulty Relaxing
TR-1204,Impending Doom
TR-2014,Impending Doom
TR-248,Excessive Worry
TR-1601,Lack of Worry Control
TR-1780,Impending Doom
TR-985,Restlessness
TR-616,Restlessness
TR-14,Excessive Worry
TR-2168,Restlessness
TR-2356,Restlessness
TR-271,Excessive Worry
TR-339,Restlessness
TR-715,Nervousness
TR-2271,Restlessness
TR-6,Lack of Worry Control
TR-944,Difficulty Relaxing
TR-1846,Lack of Worry Control
TR-1711,Excessive Worry
TR-429,Lack of Worry Control
TR-1322,Lack of Worry Control
TR-1070,Restlessness
TR-732,Lack of Worry Control
TR-458,Restlessness
TR-674,Difficulty Relaxing
TR-2138,Impending Doom
TR-1631,Nervousness
TR-1376,Lack of Worry Control
TR-1571,Difficulty Relaxing
TR-2429,Nervousness
TR-365,Nervousness
TR-193,Excessive Worry
TR-1630,Impending Doom
TR-1950,Nervousness
TR-1117,Lack of Worry Control
TR-703,Nervousness
TR-646,Impending Doom
TR-611,Nervousness
TR-439,Nervousness
TR-140,Excessive Worry
TR-588,Excessive Worry
TR-157,Impending Doom
TR-840,Nervousness
TR-1794,Lack of Worry Control
TR-2405,Irritatbily
TR-1234,Nervousness
TR-940,Excessive Worry
TR-401,Difficulty Relaxing
TR-931,Difficulty Relaxing
TR-876,Lack of Worry Control
TR-1101,Excessive Worry
TR-938,Restlessness
TR-139,Nervousness
TR-1626,Difficulty Relaxing
TR-911,Irritatbily
TR-1351,Restlessness
TR-725,Impending Doom
TR-2588,Impending Doom
TR-106,Excessive Worry
TR-362,Difficulty Relaxing
TR-1511,Excessive Worry
TR-413,Nervousness
TR-245,Lack of Worry Control
TR-2339,Restlessness
TR-1043,Difficulty Relaxing
TR-2378,Restlessness
TR-2329,Lack of Worry Control
TR-2369,Nervousness
TR-1926,Nervousness
TR-566,Irritatbily
TR-1708,Restlessness
TR-1423,Excessive Worry
TR-925,Impending Doom
TR-835,Difficulty Relaxing
TR-1804,Excessive Worry
TR-367,Nervousness
TR-1829,Excessive Worry
TR-2472,Difficulty Relaxing
TR-1236,Difficulty Relaxing
TR-2004,Difficulty Relaxing
TR-68,Restlessness
TR-2104,Lack of Worry Control
TR-1029,Difficulty Relaxing
TR-1021,Difficulty Relaxing
TR-1026,Lack of Worry Control
TR-1827,Difficulty Relaxing
TR-1151,Restlessness
TR-1230,Difficulty Relaxing
TR-788,Impending Doom
TR-2418,Irritatbily
TR-2496,Excessive Worry
TR-2598,Nervousness
TR-1073,Impending Doom
TR-1061,Impending Doom
TR-1933,Impending Doom
TR-1416,Lack of Worry Control
TR-768,Impending Doom
TR-349,Irritatbily
TR-2025,Lack of Worry Control
TR-1821,Restlessness
TR-2550,Lack of Worry Control
TR-2160,Restlessness
TR-2254,Difficulty Relaxing
TR-192,Excessive Worry
TR-2162,Difficulty Relaxing
TR-2151,Irritatbily
TR-126,Restlessness
TR-1379,Difficulty Relaxing
TR-1844,Lack of Worry Control
TR-1408,Impending Doom
TR-1871,Impending Doom
TR-2401,Nervousness
TR-2143,Excessive Worry
TR-2360,Restlessness
TR-1141,Restlessness
TR-1065,Irritatbily
TR-175,Excessive Worry
TR-1562,Impending Doom
TR-2116,Lack of Worry Control
TR-1808,Impending Doom
TR-90,Impending Doom
TR-1795,Difficulty Relaxing
TR-2229,Impending Doom
TR-213,Excessive Worry
TR-2412,Impending Doom
TR-1683,Nervousness
TR-20,Difficulty Relaxing
TR-1674,Excessive Worry
TR-608,Impending Doom
TR-1124,Impending Doom
TR-1438,Nervousness
TR-547,Irritatbily
TR-380,Excessive Worry
TR-2373,Nervousness
TR-553,Impending Doom
TR-550,Excessive Worry
TR-187,Lack of Worry Control
TR-1439,Restlessness
TR-707,Impending Doom
TR-2582,Difficulty Relaxing
TR-1971,Excessive Worry
TR-1935,Difficulty Relaxing
TR-984,Nervousness
TR-2519,Nervousness
TR-1987,Nervousness
TR-283,Difficulty Relaxing
TR-1616,Lack of Worry Control
TR-793,Impending Doom
TR-1665,Excessive Worry
TR-258,Excessive Worry
TR-670,Impending Doom
TR-119,Lack of Worry Control
TR-2354,Restlessness
TR-2489,Nervousness
TR-333,Difficulty Relaxing
TR-1131,Excessive Worry
TR-2080,Irritatbily
TR-2479,Nervousness
TR-918,Nervousness
TR-1724,Nervousness
TR-1403,Impending Doom
TR-1555,Excessive Worry
TR-1697,Nervousness
TR-1294,Nervousness
TR-648,Impending Doom
TR-685,Excessive Worry
TR-2607,Restlessness
TR-1884,Restlessness
TR-297,Excessive Worry
TR-2149,Lack of Worry Control
TR-1919,Restlessness
TR-586,Impending Doom
TR-1472,Restlessness
TR-971,Irritatbily
TR-2303,Excessive Worry
TR-977,Excessive Worry
TR-2542,Difficulty Relaxing
TR-1483,Difficulty Relaxing
TR-1796,Difficulty Relaxing
TR-979,Nervousness
TR-677,Difficulty Relaxing
TR-1464,Lack of Worry Control
TR-234,Restlessness
TR-2414,Impending Doom
TR-2462,Lack of Worry Control
TR-2032,Difficulty Relaxing
TR-1977,Excessive Worry
TR-2000,Excessive Worry
TR-1830,Lack of Worry Control
TR-1130,Nervousness
TR-1735,Restlessness
TR-467,Nervousness
TR-623,Excessive Worry
TR-2399,Excessive Worry
TR-998,Difficulty Relaxing
TR-920,Impending Doom
TR-1758,Excessive Worry
TR-1345,Restlessness
TR-2179,Restlessness
TR-396,Lack of Worry Control
TR-862,Impending Doom
TR-1079,Nervousness
TR-1975,Nervousness
TR-2029,Restlessness
TR-1437,Nervousness
TR-1327,Restlessness
TR-274,Lack of Worry Control
TR-2198,Nervousness
TR-1134,Difficulty Relaxing
TR-2003,Irritatbily
TR-1187,Lack of Worry Control
TR-1970,Lack of Worry Control
TR-1564,Nervousness
TR-2208,Impending Doom
TR-181,Difficulty Relaxing
TR-1857,Difficulty Relaxing
TR-1587,Nervousness
TR-1974,Difficulty Relaxing
TR-1071,Lack of Worry Control
TR-2176,Restlessness
TR-1321,Difficulty Relaxing
TR-1765,Excessive Worry
TR-1573,Lack of Worry Control
TR-1924,Impending Doom
TR-1152,Restlessness
TR-693,Lack of Worry Control
TR-980,Irritatbily
TR-2109,Excessive Worry
TR-1563,Irritatbily
TR-1323,Nervousness
TR-1302,Excessive Worry
TR-2475,Restlessness
TR-1240,Excessive Worry
TR-1344,Nervousness
TR-1271,Irritatbily
TR-1672,Difficulty Relaxing
TR-538,Difficulty Relaxing
TR-1052,Restlessness
TR-2552,Impending Doom
TR-767,Difficulty Relaxing
TR-1081,Restlessness
TR-856,Nervousness
TR-1404,Restlessness
TR-1578,Nervousness
TR-1282,Excessive Worry
TR-877,Difficulty Relaxing
TR-1855,Impending Doom
TR-1447,Restlessness
TR-1861,Restlessness
TR-1703,Difficulty Relaxing
TR-1461,Lack of Worry Control
TR-802,Difficulty Relaxing
TR-433,Lack of Worry Control
TR-1748,Restlessness
TR-1954,Nervousness
TR-1897,Restlessness
TR-1212,Difficulty Relaxing
TR-1030,Difficulty Relaxing
TR-2252,Restlessness
TR-242,Restlessness
TR-1090,Nervousness
TR-2545,Impending Doom
TR-1198,Nervousness
TR-1248,Impending Doom
TR-1607,Restlessness
TR-765,Restlessness
TR-809,Restlessness
TR-853,Excessive Worry
TR-658,Irritatbily
TR-1851,Nervousness
TR-941,Restlessness
TR-515,Difficulty Relaxing
TR-947,Nervousness
TR-966,Nervousness
TR-16,Restlessness
TR-206,Irritatbily
TR-2096,Difficulty Relaxing
TR-76,Nervousness
TR-999,Restlessness
TR-279,Nervousness
TR-1304,Excessive Worry
TR-568,Excessive Worry
TR-2184,Difficulty Relaxing
TR-1963,Lack of Worry Control
TR-554,Excessive Worry
TR-2297,Irritatbily
TR-1337,Irritatbily
TR-662,Impending Doom
TR-1914,Impending Doom
TR-2185,Excessive Worry
TR-1055,Irritatbily
TR-2518,Impending Doom
TR-1998,Difficulty Relaxing
TR-1303,Nervousness
TR-827,Irritatbily
TR-1359,Impending Doom
TR-1527,Excessive Worry
TR-509,Nervousness
TR-1812,Difficulty Relaxing
TR-1980,Impending Doom
TR-1843,Lack of Worry Control
TR-2017,Excessive Worry
TR-733,Excessive Worry
TR-2407,Excessive Worry
TR-120,Irritatbily
TR-233,Excessive Worry
TR-1005,Difficulty Relaxing
TR-1625,Lack of Worry Control
TR-1200,Impending Doom
TR-717,Nervousness
TR-632,Impending Doom
TR-2296,Lack of Worry Control
TR-731,Lack of Worry Control
TR-2600,Excessive Worry
TR-855,Difficulty Relaxing
TR-879,Nervousness
TR-1098,Restlessness
TR-286,Impending Doom
TR-2382,Lack of Worry Control
TR-289,Lack of Worry Control
TR-2028,Nervousness
TR-25,Excessive Worry
TR-2247,Lack of Worry Control
TR-1082,Impending Doom
TR-592,Excessive Worry
TR-1681,Excessive Worry
TR-2075,Restlessness
TR-1973,Excessive Worry
TR-1569,Restlessness
TR-580,Restlessness
TR-1407,Difficulty Relaxing
TR-1937,Restlessness
TR-416,Lack of Worry Control
TR-2596,Lack of Worry Control
TR-352,Difficulty Relaxing
TR-198,Impending Doom
TR-776,Lack of Worry Control
TR-756,Excessive Worry
TR-2084,Excessive Worry
TR-442,Excessive Worry
TR-1013,Difficulty Relaxing
TR-1047,Excessive Worry
TR-1958,Excessive Worry
TR-435,Lack of Worry Control
TR-735,Impending Doom
TR-1018,Nervousness
TR-453,Lack of Worry Control
TR-2243,Lack of Worry Control
TR-1329,Restlessness
TR-2465,Nervousness
TR-1916,Lack of Worry Control
TR-614,Lack of Worry Control
TR-1413,Excessive Worry
TR-1777,Excessive Worry
TR-1057,Excessive Worry
TR-1096,Impending Doom
TR-476,Nervousness
TR-296,Excessive Worry
TR-1475,Nervousness
TR-85,Difficulty Relaxing
TR-2054,Nervousness
TR-74,Restlessness
TR-2090,Lack of Worry Control
TR-1553,Lack of Worry Control
TR-2313,Excessive Worry
TR-1080,Impending Doom
